assertion_id,passage,source_id,evidence_level,certainty,note
"asrt-0012","EXO 32:13","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","EXO 33:1","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","EXO 3:15","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","EXO 3:16","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","EXO 3:6","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","EXO 4:5","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","EXO 6:3","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","EXO 6:8","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 21:10","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 21:12","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 21:3","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 21:4","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 21:5","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 21:8","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 22:3","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 22:6","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 22:7","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 22:9","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 25:11","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 25:19","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 25:5","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 25:6","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 26:1","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 26:18","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 28:13","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 31:42","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 31:53","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 32:9","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 35:12","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 35:27","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 48:15","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 48:16","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 49:31","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 50:24","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","JER 33:26","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","JOS 24:3","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","LEV 26:42","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","NUM 32:11","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","PSA 105:9","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0012","GEN 17:19","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0013","STEP:MAT 1:1","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0014","STEP:MAT 1:1","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0014","STEP:ROM 4:19","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0014","GEN 11:29","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 11:31","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 12:17","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 12:5","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 16:1","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 16:2","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 16:3","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 16:5","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 16:6","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 17:15","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 17:17","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 18:11","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 18:13","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 18:6","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 20:14","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 20:18","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 20:2","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 21:12","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 21:2","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 21:3","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 21:7","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 21:9","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 23:19","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 23:2","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 25:10","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 25:12","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","GEN 49:31","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0014","ISA 51:2","source:0002","modern_reference","0.78","STEP TIPNR sibling field; two-round OT relationship review accepted this shared locator."
"asrt-0015","STEP:MAT 1:1","source:0002","modern_reference","0.82","partner relation from TIPNR"
"asrt-0015","STEP:ROM 4:19","source:0002","modern_reference","0.82","partner relation from TIPNR"
"asrt-0015","GEN 11:29","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 11:31","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 12:17","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 12:5","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 16:1","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 16:2","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 16:3","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 16:5","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 16:6","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 17:15","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 17:17","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 18:11","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 18:13","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 18:6","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 20:14","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 20:18","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 20:2","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 21:12","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 21:2","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 21:3","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 21:7","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 21:9","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 23:19","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 23:2","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 25:10","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 25:12","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","GEN 49:31","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0015","ISA 51:2","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0016","STEP:MAT 1:1","source:0002","modern_reference","0.82","partner relation from TIPNR"
"asrt-0016","STEP:GAL 4:24","source:0002","modern_reference","0.82","partner relation from TIPNR"
"asrt-0016","GEN 16:1","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0016","GEN 16:15","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0016","GEN 16:16","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0016","GEN 16:3","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0016","GEN 21:14","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0016","GEN 21:9","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0016","GEN 25:12","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0017","STEP:MAT 1:14","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0018","STEP:MAT 1:14","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0019","STEP:LUK 3:38","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0019","STEP:HEB 11:4","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0019","GEN 4:1","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0019","GEN 2:19","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0020","STEP:LUK 3:38","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0020","GEN 4:25","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0020","GEN 2:19","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0021","STEP:LUK 3:38","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0021","STEP:2CO 11:3","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0022","STEP:LUK 3:38","source:0002","modern_reference","0.82","partner relation from TIPNR"
"asrt-0022","STEP:2CO 11:3","source:0002","modern_reference","0.82","partner relation from TIPNR"
"asrt-0022","GEN 3:20","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0022","GEN 4:1","source:0002","modern_reference","0.78","STEP TIPNR partner field; two-round OT relationship review accepted this shared locator."
"asrt-0022","GEN 2:19","source:0002","modern_reference","0.72","STEP TIPNR partner field; requires editorial confirmation against the cited passage."
"asrt-0023","STEP:LUK 3:28","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0024","STEP:LUK 3:28","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0025","STEP:ACT 25:13","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0025","STEP:ACT 12:1","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0026","STEP:MAT 1:9","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0026","2KI 15:38","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0026","2KI 15:5","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0027","STEP:MAT 1:9","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0027","2KI 16:20","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0027","2KI 15:38","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0028","STEP:MAT 27:32","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0028","STEP:MRK 15:21","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0029","STEP:MRK 15:21","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0030","STEP:MAT 10:3","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0030","STEP:MAT 1:15","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0031","STEP:MAT 10:3","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0032","STEP:MAT 27:56","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0032","STEP:MAT 10:3","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0033","STEP:MAT 10:3","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0034","STEP:MAT 10:3","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0034","STEP:MAT 1:16","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0035","STEP:MAT 10:3","source:0002","modern_reference","0.82","partner relation from TIPNR"
"asrt-0036","STEP:MAT 1:4","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0036","STEP:MAT 1:3","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0036","RUT 4:19","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0036","EXO 6:23","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0037","STEP:MAT 1:4","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0037","EXO 6:23","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0038","STEP:MAT 1:10","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0038","2KI 21:18","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0038","2KI 20:21","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0039","STEP:MAT 1:10","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0039","1KI 13:2","source:0002","modern_reference","0.66","Deterministic OT relation resolver evidence"
"asrt-0039","2KI 21:18","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0040","STEP:LUK 3:25","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0041","STEP:LUK 3:25","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0042","STEP:ACT 5:1","source:0002","modern_reference","0.82","partner relation from TIPNR"
"asrt-0043","STEP:MAT 16:17","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0043","STEP:MAT 4:18","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0044","STEP:MAT 4:18","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0045","STEP:LUK 2:36","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0046","STEP:ACT 18:2","source:0002","modern_reference","0.82","partner relation from TIPNR"
"asrt-0047","STEP:MAT 2:1","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0047","STEP:MAT 2:22","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0048","STEP:MAT 14:1","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0048","STEP:MAT 2:22","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0049","STEP:MAT 14:3","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0049","STEP:MAT 2:22","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0050","STEP:LUK 3:1","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0050","STEP:MAT 2:22","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0051","STEP:LUK 3:36","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0051","GEN 10:22","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0051","GEN 5:32","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0052","STEP:LUK 3:36","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0053","STEP:MAT 1:7","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0053","STEP:MAT 1:8","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0053","1KI 15:24","source:0002","modern_reference","0.78","STEP TIPNR parent field; two-round OT relationship review accepted this shared locator."
"asrt-0053","1KI 15:8","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0054","STEP:LUK 2:36","source:0002","modern_reference","0.82","parent relation from TIPNR"
"asrt-0054","STEP:MAT 1:2","source:0002","modern_reference","0.82","offspring relation from TIPNR"
"asrt-0054","GEN 25:26","source:0002","modern_reference","0.66","Deterministic OT relation resolver evidence"
"asrt-0054","GEN 30:13","source:0002","modern_reference","0.72","STEP TIPNR parent field; requires editorial confirmation against the cited passage."
"asrt-0055","STEP:LUK 2:36","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0055","STEP:REV 7:7","source:0002","modern_reference","0.82","sibling relation from TIPNR"
"asrt-0055","GEN 29:33","source:0002","modern_reference","0.66","Deterministic OT relation resolver evidence"
"asrt-0055","GEN 30:13","source:0002","modern_reference","0.72","STEP TIPNR sibling field; requires editorial confirmation against the cited passage."
"asrt-0056","STEP:LUK 2:36","source:0002","modern_reference","0.82","sibling relation from TIPNR"
